,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,56.0,51.0,47.0,42.0,37.0,34.0,32.0,31.0,31.0,33.0,35.0,37.0,41.0,46.0,48.0,51.0,53.0,55.0,56.0,57.0,57.0,58.0,56.67949,52.693443,45.56066,41.511414,37.278084,33.64402,31.788633,31.572577,31.979937,32.917774,35.178886,36.319595,42.03353,46.395058,50.649063,51.40471,54.158478,54.824135,56.250336,56.672134,58.01332,58.450134
1,72.0,67.0,60.0,52.0,46.0,41.0,38.0,37.0,38.0,41.0,46.0,45.0,47.0,52.0,56.0,61.0,65.0,67.0,69.0,70.0,70.0,70.0,70.45391,67.220375,60.96867,52.521107,45.880386,41.714428,38.596077,36.827747,38.028694,41.48066,43.84973,45.068268,46.537556,51.40399,56.559006,60.43449,65.00385,67.72819,68.96914,70.53852,70.52854,69.47929
2,71.0,66.0,60.0,54.0,48.0,44.0,40.0,39.0,39.0,41.0,42.0,41.0,45.0,50.0,55.0,59.0,63.0,66.0,67.0,68.0,68.0,68.0,69.01087,64.98736,59.56756,53.272636,47.906487,43.360306,40.694633,39.048298,39.30457,41.09278,43.184433,41.758904,45.089046,50.25431,54.285133,59.735046,62.951527,65.94436,68.06393,67.34491,67.651,66.794
3,56.0,52.0,47.0,42.0,38.0,35.0,33.0,32.0,33.0,36.0,38.0,38.0,39.0,41.0,43.0,44.0,45.0,45.0,44.0,45.0,46.0,50.0,55.352848,52.506577,46.747955,40.805767,36.581055,33.967552,32.23876,31.652739,32.14288,34.616142,38.245853,38.213478,40.06916,41.626705,42.740456,43.767273,45.461414,46.040398,46.717968,45.64439,47.650757,49.870777
4,68.0,65.0,60.0,54.0,48.0,44.0,42.0,41.0,42.0,47.0,51.0,49.0,49.0,49.0,53.0,60.0,62.0,61.0,65.0,68.0,70.0,69.0,67.397575,64.95466,60.540028,53.746094,48.415047,44.217026,41.130424,39.926094,41.091827,45.371994,50.656082,48.96818,49.89435,52.22806,51.429504,56.857002,63.13176,62.94719,62.06317,67.943184,69.8206,70.07144
5,72.0,67.0,62.0,57.0,51.0,46.0,43.0,41.0,41.0,42.0,44.0,45.0,52.0,58.0,62.0,65.0,69.0,71.0,72.0,71.0,71.0,70.0,71.44365,67.40647,61.19104,55.7456,51.423923,47.01785,43.490795,41.20357,40.618164,42.46528,43.157856,45.821938,49.707794,58.21447,62.637676,65.69488,67.859856,70.74496,71.933,72.52296,71.48716,71.3192
6,72.0,65.0,58.0,49.0,43.0,38.0,36.0,34.0,35.0,39.0,43.0,42.0,44.0,49.0,52.0,57.0,61.0,66.0,69.0,72.0,75.0,75.0,70.23233,66.18804,58.351944,50.348232,43.282738,39.128696,35.56591,35.157375,35.50589,38.152428,41.85659,42.351295,45.363438,49.262947,53.736946,56.74028,62.250786,64.69557,69.585915,71.80242,74.63662,75.61414
7,79.0,72.0,65.0,56.0,49.0,44.0,41.0,38.0,39.0,43.0,47.0,46.0,48.0,54.0,59.0,64.0,69.0,74.0,77.0,81.0,83.0,82.0,78.12858,72.3378,64.72534,57.229538,49.6585,44.720867,40.898117,39.20981,38.35369,42.08068,45.840317,46.72621,48.70208,53.19358,58.711227,64.44453,69.18784,73.04258,77.75098,79.618004,83.105835,82.40807
8,56.0,52.0,47.0,42.0,38.0,35.0,33.0,32.0,32.0,34.0,35.0,40.0,47.0,52.0,55.0,59.0,63.0,66.0,69.0,71.0,72.0,70.0,55.833916,52.52559,46.939472,41.392387,37.26761,34.655735,32.934193,32.178402,32.399963,33.193806,35.07039,38.550457,47.16922,53.11802,56.38752,58.41183,62.092064,65.41316,67.69105,70.41627,71.19159,71.24772
9,66.0,61.0,55.0,49.0,44.0,41.0,40.0,39.0,40.0,43.0,42.0,44.0,49.0,54.0,59.0,63.0,66.0,69.0,71.0,72.0,75.0,75.0,66.55953,62.49706,55.26715,48.39389,43.504044,40.30343,38.49687,39.451252,40.169186,42.476585,44.333115,43.15984,49.421623,53.37579,57.67415,62.781654,66.018196,68.17831,71.1825,72.08535,71.18824,74.24842
10,71.0,61.0,51.0,43.0,38.0,34.0,33.0,34.0,38.0,42.0,41.0,40.0,42.0,44.0,47.0,50.0,53.0,57.0,61.0,66.0,70.0,71.0,71.01438,62.260567,53.133644,44.033924,38.525116,35.33723,33.443832,33.79979,37.990257,42.343224,41.26886,39.202995,41.486412,44.534912,46.891747,50.62732,53.33177,56.081337,61.371452,65.44582,70.1516,71.51493
11,65.0,57.0,49.0,42.0,37.0,35.0,34.0,34.0,38.0,43.0,42.0,42.0,46.0,50.0,54.0,58.0,62.0,66.0,71.0,75.0,78.0,78.0,65.6719,61.18073,50.353046,42.96605,37.825836,35.143703,34.153408,35.265274,37.411896,42.45014,43.711334,42.15202,46.042923,50.158386,53.7101,58.438698,62.009537,65.07803,69.16945,74.16489,76.76755,77.657524
12,67.0,63.0,57.0,52.0,48.0,45.0,43.0,42.0,43.0,44.0,43.0,47.0,52.0,56.0,60.0,65.0,70.0,75.0,80.0,82.0,83.0,81.0,66.679375,62.570927,57.763992,51.0462,47.06109,44.09729,42.289185,41.324966,41.879005,43.400608,42.875534,45.364677,53.84642,58.296825,61.240482,64.68399,69.4404,74.497185,78.8992,82.785614,82.07109,81.21575
13,70.0,64.0,58.0,52.0,47.0,43.0,40.0,38.0,37.0,38.0,39.0,46.0,55.0,62.0,67.0,73.0,76.0,79.0,82.0,84.0,84.0,83.0,68.405334,62.868027,57.363316,51.064552,45.989372,42.913513,40.67775,39.188004,38.37347,37.95805,38.745495,44.13474,53.67475,61.629944,67.778465,69.510506,77.3715,78.73251,81.09724,83.06216,84.11888,81.82127
14,86.0,78.0,69.0,62.0,58.0,54.0,51.0,51.0,54.0,57.0,54.0,53.0,56.0,60.0,62.0,62.0,59.0,59.0,61.0,63.0,65.0,67.0,85.345604,79.13256,70.9945,62.06561,56.931965,54.40869,51.710503,50.582256,53.424046,56.94626,56.418888,55.5581,56.924866,58.56611,61.075996,62.762955,62.37967,59.551765,59.859024,63.419357,65.832306,67.59373
15,64.0,61.0,58.0,54.0,49.0,48.0,46.0,45.0,46.0,47.0,47.0,52.0,58.0,61.0,66.0,70.0,73.0,75.0,78.0,81.0,80.0,77.0,65.39398,65.73376,57.96018,53.60353,49.998726,46.439438,45.823524,44.785812,45.633774,47.412193,48.042282,51.269516,59.835754,63.741776,64.980644,69.27079,72.16277,74.91751,76.57709,79.98248,82.08508,79.10103
16,90.0,83.0,74.0,67.0,62.0,59.0,57.0,57.0,59.0,61.0,59.0,57.0,59.0,63.0,69.0,76.0,78.0,80.0,82.0,84.0,86.0,85.0,89.205666,83.157906,75.66079,68.49141,62.29517,58.724857,56.566143,56.85553,60.05126,60.6015,60.04138,61.010345,62.213737,63.667007,66.958176,72.94274,78.685455,78.031784,79.88537,81.9542,83.04809,83.89135
17,89.0,84.0,77.0,70.0,65.0,61.0,57.0,56.0,58.0,58.0,59.0,66.0,72.0,79.0,85.0,90.0,92.0,87.0,86.0,90.0,95.0,95.0,86.570404,83.52172,76.83486,68.95668,63.938866,60.847397,57.978493,55.825577,56.8377,59.05416,56.48903,62.86751,73.082596,77.239006,84.123924,88.34966,92.46758,91.39073,81.67799,85.91424,94.102165,94.89953
18,92.0,84.0,77.0,69.0,64.0,60.0,59.0,58.0,59.0,59.0,60.0,66.0,73.0,81.0,87.0,93.0,97.0,97.0,97.0,100.0,103.0,104.0,92.7535,84.43641,75.77748,69.69157,64.45229,60.914627,57.75878,59.200462,60.17859,59.95574,59.20518,66.2238,73.57873,80.0003,86.600655,93.68848,96.14304,98.560844,96.34089,97.718254,101.098175,103.86665
19,86.0,80.0,72.0,66.0,61.0,57.0,55.0,54.0,56.0,56.0,57.0,62.0,69.0,76.0,84.0,90.0,93.0,95.0,93.0,83.0,85.0,84.0,86.50358,79.30852,72.20082,65.088135,61.300926,57.783314,55.025497,54.953644,55.923347,57.84973,55.81053,63.097424,69.223854,75.66509,82.366974,87.98458,94.5554,93.66767,93.88984,89.17899,91.208565,84.150696
20,83.0,78.0,72.0,66.0,61.0,57.0,53.0,52.0,53.0,55.0,55.0,58.0,67.0,74.0,79.0,85.0,91.0,95.0,98.0,100.0,101.0,98.0,82.92759,78.03214,70.89616,65.76215,61.603302,57.86469,54.82233,52.44736,52.97016,54.29705,55.832054,61.55259,64.91554,74.26104,80.15534,83.82923,89.85165,94.932945,98.095345,101.36043,101.290535,101.196
21,90.0,85.0,78.0,72.0,66.0,62.0,58.0,56.0,55.0,55.0,55.0,63.0,70.0,78.0,86.0,91.0,95.0,98.0,100.0,101.0,102.0,100.0,89.96453,83.12476,78.73501,70.76049,66.22183,62.20134,59.33721,57.004402,56.34047,55.252193,56.244896,62.868927,72.4002,77.17628,86.30244,92.31031,96.172935,98.12071,102.1494,102.42068,101.64041,101.59763
22,97.0,89.0,81.0,73.0,68.0,64.0,61.0,60.0,61.0,62.0,61.0,67.0,74.0,81.0,83.0,88.0,88.0,88.0,87.0,90.0,82.0,84.0,95.95573,89.94723,80.25895,73.309875,68.26024,64.49305,61.66291,60.442,61.85459,61.406876,60.955513,64.14562,74.1229,79.65092,85.73241,86.131966,91.14946,85.966194,88.09888,83.65609,92.08142,81.55738
23,91.0,84.0,77.0,70.0,65.0,61.0,59.0,58.0,59.0,60.0,59.0,61.0,69.0,75.0,82.0,90.0,95.0,100.0,103.0,106.0,103.0,98.0,91.43376,84.59667,76.44601,69.8375,64.61716,61.458332,58.715446,58.71632,59.660828,59.852726,60.264404,64.67437,67.42498,76.52354,80.54307,88.636925,95.02031,98.120384,102.90326,104.57486,105.86582,97.184586
24,88.0,81.0,74.0,68.0,64.0,61.0,58.0,58.0,60.0,61.0,61.0,62.0,71.0,74.0,76.0,79.0,85.0,84.0,86.0,88.0,93.0,94.0,88.32992,81.50664,74.060234,67.78968,63.573025,60.915115,59.00425,57.583733,60.045223,61.187737,60.354702,65.18879,68.03547,76.39992,79.01123,80.639534,82.02715,87.85015,82.73007,90.91019,90.05048,95.110886
